"Doença"," Sintoma_1"," Sintoma_2"," Sintoma_3"," Sintoma_4"," Sintoma_5"," Sintoma_6"," Sintoma_7"," Sintoma_8"," Sintoma_9"," Sintoma_10"," Sintoma_11"," Sintoma_12"," Sintoma_13"," Sintoma_14"," Sintoma_15"," Sintoma_16"," Sintoma_17"
" Infecção fúngica"," coceira"," erupção cutânea"," erupções cutâneas nodais"," manchas discrômicas","","","","","","","","","","","","",""
" Infecção fúngica"," erupção cutânea"," erupções cutâneas nodais"," manchas discrômicas","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupções cutâneas nodais"," manchas discrômicas","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupção cutânea"," manchas discrômicas","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupção cutânea"," erupções cutâneas nodais","","","","","","","","","","","","","",""
" Infecção fúngica"," erupção cutânea"," erupções cutâneas nodais"," manchas discrômicas","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupções cutâneas nodais"," manchas discrômicas","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupção cutânea"," manchas discrômicas","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupção cutânea"," erupções cutâneas nodais","","","","","","","","","","","","","",""
" Infecção fúngica"," coceira"," erupção cutânea"," erupções cutâneas nodais"," manchas discrômicas","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," tremendo"," calafrios"," olhos lacrimejantes","","","","","","","","","","","","",""
" Alergia"," tremendo"," calafrios"," olhos lacrimejantes","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," calafrios"," olhos lacrimejantes","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," tremendo"," olhos lacrimejantes","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," tremendo"," calafrios","","","","","","","","","","","","","",""
" Alergia"," tremendo"," calafrios"," olhos lacrimejantes","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," calafrios"," olhos lacrimejantes","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," tremendo"," olhos lacrimejantes","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," tremendo"," calafrios","","","","","","","","","","","","","",""
" Alergia"," espirros_contínuos"," tremendo"," calafrios"," olhos lacrimejantes","","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," úlceras_na_língua"," vômito"," tosse"," dor no peito","","","","","","","","","","",""
" DRGE"," dor de estômago"," úlceras_na_língua"," vômito"," tosse"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," vômito"," tosse"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," úlceras_na_língua"," tosse"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," úlceras_na_língua"," vômito"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," úlceras_na_língua"," vômito"," tosse","","","","","","","","","","","",""
" DRGE"," acidez"," úlceras_na_língua"," vômito"," tosse"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," úlceras_na_língua"," vômito"," tosse"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," vômito"," tosse"," dor no peito","","","","","","","","","","","",""
" DRGE"," dor de estômago"," acidez"," úlceras_na_língua"," tosse"," dor no peito","","","","","","","","","","","",""
