"Doença"," Descrição"
" Reação medicamentosa"," Uma reação adversa a medicamentos (RAM) é uma lesão causada pelo uso de medicamentos. As RAMs podem ocorrer após uma dose única ou administração prolongada de um medicamento, ou resultar da combinação de dois ou mais medicamentos."
" Malária"," Doença infecciosa causada por parasitas protozoários da família Plasmodium, que pode ser transmitida pela picada do mosquito Anopheles, por agulha contaminada ou por transfusão. A malária por falciparum é o tipo mais letal."
" Alergia"," Uma alergia é uma resposta do sistema imunológico a uma substância estranha que normalmente não é prejudicial ao seu corpo. Ela pode incluir certos alimentos, pólen ou pelos de animais de estimação. A função do seu sistema imunológico é mantê-lo saudável, combatendo patógenos nocivos."
" Hipotireoidismo"," Hipotireoidismo, também chamado de hipotireoidismo ou tireoide baixa, é um distúrbio do sistema endócrino em que a glândula tireoide não produz hormônio tireoidiano suficiente."
" Psoríase"," psoríase é uma doença de pele comum que forma manchas espessas, vermelhas e irregulares, cobertas por escamas prateadas. Elas podem surgir em qualquer lugar, mas a maioria aparece no couro cabeludo, cotovelos, joelhos e região lombar. A psoríase não é transmitida de pessoa para pessoa. Às vezes, pode ocorrer em membros da mesma família."
" DRGE"," A doença do refluxo gastroesofágico, ou DRGE, é um distúrbio digestivo que afeta o esfíncter esofágico inferior (EEI), o anel muscular entre o esôfago e o estômago. Muitas pessoas, incluindo gestantes, sofrem de azia ou indigestão ácida causadas pela DRGE."
" Colestase crônica"," As doenças colestáticas crônicas, que ocorrem na infância, na infância ou na idade adulta, são caracterizadas por transporte defeituoso de ácido biliar do fígado para o intestino, causado por dano primário ao epitélio biliar na maioria dos casos."
" hepatite A"," hepatite A é uma infecção hepática altamente contagiosa causada pelo vírus da hepatite A. O vírus é um dos vários tipos de vírus da hepatite que causam inflamação e afetam a capacidade do fígado de funcionar."
" Osteoartrite"," A osteoartrite é a forma mais comum de artrite, afetando milhões de pessoas em todo o mundo. Ela ocorre quando a cartilagem protetora que amortece as extremidades dos ossos se desgasta com o tempo."
" (vertigem) Vertigem posicional paromsal"," A vertigem posicional paroxística benigna (VPPB) é uma das causas mais comuns de vertigem — a sensação repentina de que você está girando ou que o interior da sua cabeça está girando. A vertigem posicional paroxística benigna causa breves episódios de tontura leve a intensa."
" Hipoglicemia","Hipoglicemia é uma condição na qual o nível de açúcar no sangue (glicose) está abaixo do normal. A glicose é a principal fonte de energia do seu corpo. A hipoglicemia é frequentemente relacionada ao tratamento do diabetes. Mas outros medicamentos e uma variedade de condições — muitas raras — podem causar hipoglicemia em pessoas sem diabetes."
" Acne"," Acne vulgar é a formação de comedões, pápulas, pústulas, nódulos e/ou cistos como resultado da obstrução e inflamação das unidades pilossebáceas (folículos pilosos e glândulas sebáceas que as acompanham). A acne se desenvolve na face e na parte superior do tronco. Afeta mais frequentemente adolescentes."
" Diabetes"," Diabetes é uma doença que ocorre quando a glicose no sangue, também chamada de açúcar no sangue, está muito alta. A glicose no sangue é sua principal fonte de energia e vem dos alimentos que você ingere. A insulina, um hormônio produzido pelo pâncreas, ajuda a glicose dos alimentos a chegar às células para ser usada como energia."
" Impetigo","Impetigo é uma infecção de pele comum e altamente contagiosa que afeta principalmente bebês e crianças. O impetigo geralmente se manifesta como feridas vermelhas no rosto, especialmente ao redor do nariz e da boca da criança, e nas mãos e nos pés. As feridas estouram e desenvolvem crostas cor de mel."
" Hipertensão"," A hipertensão arterial (HTA), também conhecida como pressão alta (PAA), é uma condição médica crônica na qual a pressão arterial nas artérias permanece elevada de forma persistente. A pressão alta geralmente não causa sintomas."
" Doença de úlcera péptica"," A úlcera péptica (DUP) é uma ruptura no revestimento interno do estômago, na primeira parte do intestino delgado ou, às vezes, na parte inferior do esôfago. Uma úlcera no estômago é chamada de úlcera gástrica, enquanto uma na primeira parte do intestino é uma úlcera duodenal."
" Hemorroidas dimórficas (pilhas)","Hemorroidas, também conhecidas como hemorroidas, são estruturas vasculares no canal anal. Em seu... Outros nomes, hemorroidas, hemorroidas, doença hemorroidária."
" Gripe comum"," O resfriado comum é uma infecção viral do nariz e da garganta (trato respiratório superior). Geralmente é inofensivo, embora possa não parecer. Muitos tipos de vírus podem causar um resfriado comum."
" Catapora"," A catapora é uma doença altamente contagiosa causada pelo vírus varicela-zóster (VZV). Pode causar uma erupção cutânea com coceira e bolhas. A erupção aparece primeiro no peito, costas e rosto, e depois se espalha por todo o corpo, causando entre 250 e 500 bolhas que coçam."
" Espondilose cervical"," Espondilose cervical é um termo geral para o desgaste relacionado à idade que afeta os discos vertebrais do pescoço. À medida que os discos desidratam e encolhem, surgem sinais de osteoartrite, incluindo projeções ósseas ao longo das bordas dos ossos (esporões ósseos)."
