Doenca, Sintoma_1, Sintoma_2, Sintoma_3, Sintoma_4, Sintoma_5, Sintoma_6, Sintoma_7, Sintoma_8, Sintoma_9, Sintoma_10, Sintoma_11, Sintoma_12, Sintoma_13, Sintoma_14, Sintoma_15, Sintoma_16, Sintoma_17
infeccao_fungica,coceira,erupcao_cutanea,erupcoes_cutaneas_nodais,manchas_discromicas,,,,,,,,,,,,,
infeccao_fungica,erupcao_cutanea,erupcoes_cutaneas_nodais,manchas_discromicas,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcoes_cutaneas_nodais,manchas_discromicas,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcao_cutanea,manchas_discromicas,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcao_cutanea,erupcoes_cutaneas_nodais,,,,,,,,,,,,,,
infeccao_fungica,erupcao_cutanea,erupcoes_cutaneas_nodais,manchas_discromicas,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcoes_cutaneas_nodais,manchas_discromicas,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcao_cutanea,manchas_discromicas,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcao_cutanea,erupcoes_cutaneas_nodais,,,,,,,,,,,,,,
infeccao_fungica,coceira,erupcao_cutanea,erupcoes_cutaneas_nodais,manchas_discromicas,,,,,,,,,,,,,
alergia,espirros_continuos,tremendo,calafrios,olhos_lacrimejantes,,,,,,,,,,,,,
alergia,tremendo,calafrios,olhos_lacrimejantes,,,,,,,,,,,,,,
alergia,espirros_continuos,calafrios,olhos_lacrimejantes,,,,,,,,,,,,,,
alergia,espirros_continuos,tremendo,olhos_lacrimejantes,,,,,,,,,,,,,,
alergia,espirros_continuos,tremendo,calafrios,,,,,,,,,,,,,,
alergia,tremendo,calafrios,olhos_lacrimejantes,,,,,,,,,,,,,,
alergia,espirros_continuos,calafrios,olhos_lacrimejantes,,,,,,,,,,,,,,
alergia,espirros_continuos,tremendo,olhos_lacrimejantes,,,,,,,,,,,,,,
alergia,espirros_continuos,tremendo,calafrios,,,,,,,,,,,,,,
alergia,espirros_continuos,tremendo,calafrios,olhos_lacrimejantes,,,,,,,,,,,,,
drge,dor_de_estomago,acidez,ulceras_na_lingua,vomito,tosse,dor_no_peito,,,,,,,,,,,
drge,dor_de_estomago,ulceras_na_lingua,vomito,tosse,dor_no_peito,,,,,,,,,,,,
