Sintoma, peso
coceira,1
erupcao_cutanea,3
erupcoes_cutaneas_nodais,4
espirros_continuos,4
tremendo,5
calafrios,3
dor_nas_articulacoes,3
dor_de_estomago,5
acidez,3
ulceras_na_lingua,4
perda_de_massa_muscular,3
vomito,5
queimacao_miccional,6
manchas_de_miccao,6
fadiga,4
ganho_de_peso,3
ansiedade,4
maos_e_pes_frios,5
mudancas_de_humor,3
perda_de_peso,3
inquietacao,5
letargia,2
manchas_na_garganta,6
nivel_irregular_de_acucar,5
tosse,4
febre_alta,7
olhos_fundos,3
falta_de_ar,4
suando,3
desidratacao,4
indigestao,5
dor_de_cabeca,3
pele_amarelada,3
urina_escura,4
nausea,5
perda_de_apetite,4
dor_atras_dos_olhos,4
dor_nas_costas,3
constipacao,4
dor_abdominal,4
diarreia,6
febre_leve,5
urina_amarela,4
amarelamento_dos_olhos,4
insuficiencia_hepatica_aguda,6
sobrecarga_de_fluido,6
inchaco_do_estomago,7
linfonodos_inchados,6
mal-estar,6
visao_turva_e_distorcida,5
catarro,5
irritacao_na_garganta,4
vermelhidao_dos_olhos,5
pressao_sinusal,4
nariz_escorrendo,5
congestionamento,5
dor_no_peito,7
fraqueza_nos_membros,7
frequencia_cardiaca_rapida,5
dor_durante_as_evacuacoes,5
dor_na_regiao_anal,6
fezes_sangrendas,5
irritacao_no_anus,6
dor_no_pescoco,5
tontura,4
colicas,4
hematomas,4
obesidade,4
pernas_inchadas,5
vasos_sanguineos_inchados,5
rosto_e_olhos_inchados,5
tireoide_aumentada,6
unhas_quebradicas,5
extremidades_inchadas,5
fome_excessiva,4
contatos_extraconjugais,5
labios_secos_e_formigados,4
fala_arrastada,4
dor_no_joelho,3
dor_na_articulacao_do_quadril,2
fraqueza_muscular,2
torcicolo,4
inchaco_nas_articulacoes,5
rigidez_de_movimento,5
movimentos_giratorios,6
perda_de_equilibrio,4
instabilidade,4
fraqueza_de_um_lado_do_corpo,4
perda_do_cheiro,3
desconforto_na_bexiga,4
cheiro_ruim_de_furina,5
sensacao_continua_de_urina,6
passagem_de_gases,5
coceira_interna,4
aparencia_toxica_(tifos),5
depressao,3
irritabilidade,2
dor_muscular,2
sensorium_alterado,2
manchas_vermelhas_no_corpo,3
dor_de_barriga,4
menstruacao_anormal,6
manchas_discromicas,6
olhos_lacrimejantes,4
aumento_do_apetite,5
poliuria,4
historia_familiar,5
expectoracao_mucoide,4
expectoracao_enferrujada,4
falta_de_concentracao,3
disturbios_visuais,3
recebendo_transfusao_de_sangue,5
recebendo_injecoes_nao_estereis,2
coma,7
sangramento_estomacal,6
distensao_do_abdome,4
historia_do_consumo_de_alcool,5
sobrecarga_de_fluido,4
sangue_no_escarro,5
veias_proeminentes_na_panturrilha,6
palpitacoes,4
caminhada_dolorosa,2
espinhas_cheias_de_pus,2
cravos_pretos,2
correndo,2
descamacao_da_pele,3
po_prateado,2
pequenos_amassados_nas_unhas,2
unhas_inflamatorias,2
bolha,4
ferida_vermelha_ao_redor_do_nariz,2
lodo_de_crosta_amarela,3
prognostico,5
