Doenca, Precaucao_1, Precaucao_2, Precaucao_3, Precaucao_4
reacao_medicamentosa,pare_a_irritacao,consulte_o_hospital_mais_proximo,pare_de_tomar_drogas,seguir
malaria,consulte_o_hospital_mais_proximo,evite_alimentos_gordurosos,evite_alimentos_nao_vegetarianos,manter_os_mosquitos_afastados
alergia,aplicar_calamina,cobrir_a_area_com_bandagem,,use_gelo_para_comprimir_a_coceira
hipotireoidismo,reduzir_o_estresse,exercicio,coma_saudavel,durma_bem
psoriase,lave_as_maos_com_agua_morna_e_sabao,pare_o_sangramento_usando_pressao,consultar_um_medico,banhos_de_sal
drge,evite_alimentos_gordurosos_e_picantes,evite_deitar_depois_de_comer,manter_um_peso_saudavel,exercicio
colestase_cronica,banhos_frios,remedio_contra_coceira,consultar_um_medico,coma_saudavel
hepatite_a,consulte_o_hospital_mais_proximo,lave_as_maos_completamente,evite_alimentos_gordurosos_e_picantes,medicamento
osteoartrite,paracetamol,consulte_o_hospital_mais_proximo,seguir,banhos_de_sal
(vertigem)_vertigem_posicional_paromsal,deitar-se,evitar_mudancas_repentinas_no_corpo,evite_movimentos_bruscos_da_cabeca,relaxar
hipoglicemia,deite-se_de_lado,verifique_o_pulso,beber_bebidas_acucaradas,consultar_um_medico
acne,tomar_banho_duas_vezes,evite_alimentos_gordurosos_e_picantes,beba_bastante_agua,evite_muitos_produtos
diabetes,ter_uma_dieta_balanceada,exercicio,consultar_um_medico,seguir
impetigo,mergulhe_a_area_afetada_em_agua_morna,usar_antibioticos,remover_crostas_com_pano_umido_comprimido,consultar_um_medico
hipertensao,meditacao,banhos_de_sal,reduzir_o_estresse,durma_bem
doenca_de_ulcera_peptica,evite_alimentos_gordurosos_e_picantes,consumir_alimentos_probioticos,eliminar_leite,limitar_o_alcool
hemorroidas_dimorficas_(pilhas),evite_alimentos_gordurosos_e_picantes,consumir_hamamelis,banho_morno_com_sal_de_epsom,consumir_suco_de_alovera
gripe_comum,beba_bebidas_ricas_em_vitamina_c,tomar_vapor,evite_comida_fria,manter_a_febre_sob_controle
catapora,usar_nim_no_banho,consumir_folhas_de_nim,tomar_vacina,evite_locais_publicos
espondilose_cervical,use_bolsa_termica_ou_bolsa_fria,exercicio,tomar_analgesico_de_venda_livre,consultar_um_medico
hipertireoidismo,coma_saudavel,massagem,usar_erva_cidreira,fazer_tratamento_com_iodo_radioativo
infeccao_do_trato_urinario,beba_bastante_agua,aumentar_a_ingestao_de_vitamina_c,beber_suco_de_cranberry,tomar_probioticos
varizes,deite-se_e_levante_a_perna_bem_alto,usar_pomadas,usar_compressao_venosa,nao_fique_parado_por_muito_tempo
aids,evitar_cortes_abertos,use_epi_se_possivel,consultar_um_medico,seguir
paralisia_(hemorragia_cerebral),massagem,coma_saudavel,exercicio,consultar_um_medico
tifoide,coma_vegetais_ricos_em_calorias,terapia_antibiotica,consultar_um_medico,medicamento
hepatite_b,consulte_o_hospital_mais_proximo,vacinacao,coma_saudavel,medicamento
infeccao_fungica,tomar_banho_duas_vezes,use_detol_ou_nim_na_agua_do_banho,manter_a_area_infectada_seca,use_panos_limpos
hepatite_c,consulte_o_hospital_mais_proximo,vacinacao,coma_saudavel,medicamento
enxaqueca,meditacao,reduzir_o_estresse,usar_oculos_poloides_no_sol,consultar_um_medico
asma_bronquica,mudar_para_roupas_largas,respire_fundo,fique_longe_do_gatilho,procurar_ajuda
hepatite_alcoolica,pare_de_consumir_alcool,consultar_um_medico,medicamento,seguir
ictericia,beba_bastante_agua,consumir_cardo_mariano,coma_frutas_e_alimentos_ricos_em_fibras,medicamento
hepatite_e,pare_de_consumir_alcool,descansar,consultar_um_medico,medicamento
dengue,beber_suco_de_folha_de_mamao,evite_alimentos_gordurosos_e_picantes,manter_os_mosquitos_longe,mantenha-se_hidratado
hepatite_d,consultar_um_medico,medicamento,coma_saudavel,seguir
ataque_cardiaco,chamar_ambulancia,mastigar_ou_engolir_aspirina,fique_calmo,
pneumonia,consultar_um_medico,medicamento,descansar,seguir
artrite,exercicio,usar_terapia_quente_e_fria,experimente_acupuntura,massagem
gastroenterite,pare_de_comer_alimentos_solidos_por_um_tempo,tente_tomar_pequenos_goles_de_agua,descansar,volte_a_comer_devagar
tuberculose,cobrir_a_boca,consultar_um_medico,medicamento,descansar
